customer_id,age,income,purchase_amount,last_purchase_days,website_visits,support_calls,segment,preferred_category,engagement_score,recency_score,purchase_probability,churn_probability,churn,high_value_customer,customer_lifetime_value,log_purchase,pca_x,pca_y
73,57,95520,4133,303,3,7,1,Fashion,16.13,0.0033,0.5085,0.734,1,1,66677.69,8.327,3.895,1.184
74,60,21759,336,12,45,7,0,Fashion,33.34,0.0769,0.576,0.075,0,0,11200.9,5.8201,-0.339,-0.342
75,29,146092,1404,318,14,1,2,Beauty,9.9,0.0031,0.5486,0.8232,1,0,13905.22,7.2478,3.717,2.423
76,61,61949,3530,80,30,7,1,Fashion,29.03,0.0123,0.6178,0.232,0,0,102475.9,8.1693,0.379,1.887
77,53,112374,1401,216,4,0,2,Grocery,3.4,0.0046,0.3565,0.7218,1,0,4764.8,7.2457,4.457,3.644
78,21,22482,2641,339,18,5,0,Sports,19.14,0.0029,0.3577,0.7624,1,0,50551.38,7.8793,0.3,-0.975
79,22,44442,2151,264,37,7,0,Electronics,31.15,0.0038,0.6034,0.5142,0,0,67005.8,7.6742,-0.45,-0.041
80,54,53719,541,149,25,2,0,Books,16.04,0.0067,0.3941,0.4804,0,0,8678.18,6.2953,-0.065,0.157
81,25,78066,2176,81,48,7,1,Grocery,36.68,0.0122,0.78,0.1545,0,0,79806.98,7.6857,0.951,1.647
82,59,113501,3280,215,1,0,2,Electronics,3.78,0.0046,0.3654,0.7163,1,0,12398.4,8.0959,4.959,3.133
83,45,22079,2757,198,46,8,0,Home Decor,37.76,0.005,0.6455,0.3368,0,0,104096.05,7.9223,-0.392,-0.322
84,48,22717,3898,200,15,8,0,Home Decor,23.4,0.005,0.4244,0.4886,0,0,91205.4,8.2685,2.475,0.223
85,26,79676,904,25,9,4,1,Home Decor,11.4,0.0385,0.3923,0.3234,0,0,10309.22,6.8079,1.86,1.994
86,46,47952,174,89,15,9,0,Grocery,21.17,0.0111,0.4581,0.3281,0,0,3684.28,5.1648,-0.608,0.113
87,31,106444,2275,268,49,3,2,Grocery,31.28,0.0037,0.7729,0.5195,0,0,71150.62,7.7302,3.67,3.405
88,57,62460,4024,143,24,5,1,Books,23.52,0.0069,0.5338,0.3931,0,0,94660.58,8.3003,0.87,2.292
89,58,110397,2189,59,4,6,2,Sports,13.19,0.0167,0.503,0.3611,0,0,28870.72,7.6917,4.386,1.519
90,39,92847,140,26,12,4,1,Fashion,12.14,0.037,0.4393,0.3174,0,0,1699.6,4.9488,1.664,2.255
91,28,113607,2181,47,37,9,2,Home Decor,34.18,0.0208,0.8374,0.1242,0,0,74548.76,7.688,4.905,3.274
92,40,109106,4783,288,37,8,2,Beauty,35.28,0.0035,0.8423,0.5111,0,1,168758.59,8.473,3.78,2.111
93,18,38449,1722,266,43,2,0,Sports,26.22,0.0037,0.5107,0.5685,1,0,45154.28,7.4518,1.108,0.642
94,63,53536,441,16,6,6,0,Beauty,12.44,0.0588,0.3377,0.2978,0,0,5486.48,6.0913,0.606,-0.319
95,54,84077,4152,199,39,9,1,Books,37.15,0.005,0.8037,0.3447,0,1,154255.1,8.3316,2.023,1.29
96,38,58258,2174,282,46,9,0,Books,38.67,0.0035,0.7575,0.4661,0,0,84077.28,7.6848,1.264,-0.406
97,43,68302,745,86,24,4,1,Books,18.74,0.0115,0.4754,0.3483,0,0,13965.03,6.6147,2.762,1.742
98,63,145937,4926,250,11,6,2,Electronics,19.43,0.004,0.6959,0.6123,1,1,95692.48,8.5025,6.357,2.372
99,53,48865,4363,270,13,1,0,Beauty,12.36,0.0037,0.3239,0.7184,1,1,53939.77,8.3811,-0.328,0.721
100,40,26645,709,335,34,3,0,Sports,22.21,0.003,0.4166,0.724,1,0,15746.18,6.5653,0.061,-0.111
